name                    	time	value	rate	unit	path
"plantDryWeight"                    	0.000	0.00000000	NA	"g"	"//plants/bean"
"carbonAllocation2Leafs"            	0.000	0.00000000	0.00000000	"g"	"//plants/bean/plantPosition/shoot"
"carbonAllocation2Stems"            	0.000	0.00000000	0.00000000	"g"	"//plants/bean/plantPosition/shoot"
"leafArea"                          	0.000	0.00000000	0.00000000	"cm2"	"//plants/bean/plantPosition/shoot"
"leafAreaIndex"                     	0.000	0.00000000	NA	"cm2/cm2"	"//plants/bean/plantPosition/shoot"
"leafAreaReductionCoefficient"      	0.000	1.00000000	NA	"cm2/cm2"	"//plants/bean/plantPosition/shoot"
"leafDryWeight"                     	0.000	0.00000000	0.00000000	"g"	"//plants/bean/plantPosition/shoot"
"leafPotentialCarbonSinkForGrowth"  	0.000	0.00000000	0.00000000	"g"	"//plants/bean/plantPosition/shoot"
"leafRespiration"                   	0.000	0.00000000	0.00000000	"g"	"//plants/bean/plantPosition/shoot"
"lightInterception"                 	0.000	0.00000000	NA	"umol/cm2/day"	"//plants/bean/plantPosition/shoot"
"photosynthesis"                    	0.000	0.00000000	0.00000000	"g"	"//plants/bean/plantPosition/shoot"
"potentialLeafArea"                 	0.000	0.00000000	0.00000000	"cm2"	"//plants/bean/plantPosition/shoot"
"potentialTranspiration"            	0.000	0.00000000	0.00000000	"cm3"	"//plants/bean/plantPosition/shoot"
"relativeCarbonAllocation2Leafs"    	0.000	0.70000000	NA	"100%"	"//plants/bean/plantPosition/shoot"
"relativeCarbonAllocation2Stems"    	0.000	0.30000000	NA	"100%"	"//plants/bean/plantPosition/shoot"
"stemDryWeight"                     	0.000	0.00000000	0.00000000	"g"	"//plants/bean/plantPosition/shoot"
"stemPotentialCarbonSinkForGrowth"  	0.000	0.00000000	0.00000000	"g"	"//plants/bean/plantPosition/shoot"
"stemRespiration"                   	0.000	0.00000000	0.00000000	"g"	"//plants/bean/plantPosition/shoot"
"stressAdjustedPotentialLeafArea"   	0.000	0.00000000	0.00000000	"cm2"	"//plants/bean/plantPosition/shoot"
"plantPotentialCarbonSinkForGrowth" 	0.000	0.00000000	0.00594985	"g"	"//plants/bean"
"plantRespiration"                  	0.000	0.00000000	0.00000000	"g"	"//plants/bean"
"plantingTime"                      	0.000	0.00000000	NA	"day"	"//plants/bean"
"nutrientStressFactor"              	0.000	1.00000000	0.00000000	"100%"	"//plants/bean/potassium"
"plantMinimalNutrientContent"       	0.000	0.00000000	NA	"umol"	"//plants/bean/potassium"
"plantNutrientUptake"               	0.000	45.00000000	0.00000000	"umol"	"//plants/bean/potassium"
"plantOptimalNutrientContent"       	0.000	0.00000000	NA	"umol"	"//plants/bean/potassium"
"rootsBelowD90ForNutrient"          	0.000	0.00000000	NA	"cm"	"//plants/bean/potassium"
"relativeCarbonAllocation2Roots"    	0.000	1.00000000	NA	"100%"	"//plants/bean"
"relativeCarbonAllocation2Shoot"    	0.000	0.00000000	NA	"100%"	"//plants/bean"
"reserves"                          	0.000	0.20000000	-0.01322188	"g"	"//plants/bean"
"rootCarbonCostOfBiologicalNitrogenFixation"	0.000	0.00000000	0.00000000	"g"	"//plants/bean"
"rootCarbonCostOfExudates"          	0.000	0.00000000	0.00000000	"g"	"//plants/bean"
"rootCarbonCostOfNutrientUptake"    	0.000	0.00000000	0.00000000	"g"	"//plants/bean"
"rootCarbonCosts"                   	0.000	0.00000000	0.00000000	"g"	"//plants/bean"
"rootDryWeight"                     	0.000	0.00000000	NA	"g"	"//plants/bean"
"rootGrowthScalingFactor"           	0.000	1.00000000	0.00000000	"100%"	"//plants/bean"
"rootGrowthScalingFactor;majorAxis" 	0.000	1.00000000	0.00000000	"100%"	"//plants/bean"
"rootLength"                        	0.000	0.00000000	NA	"cm"	"//plants/bean"
"rootLongitudinalGrowth"            	0.000	0.00000000	3.35700000	"cm"	"//plants/bean"
"rootPotentialCarbonSinkForGrowth"  	0.000	0.00000000	0.00594985	"g"	"//plants/bean"
"rootPotentialCarbonSinkForGrowth;majorAxis"	0.000	0.00000000	0.00594985	"g"	"//plants/bean"
"rootRespiration"                   	0.000	0.00000000	0.00000000	"g"	"//plants/bean"
"rootSecondaryPotentialCarbonSinkForGrowth"	0.000	0.00000000	0.00000000	"g"	"//plants/bean"
"rootSurfaceArea"                   	0.000	0.00000000	NA	"cm2"	"//plants/bean"
"rootVolume"                        	0.000	0.00000000	NA	"cm3"	"//plants/bean"
"rootWaterUptake"                   	0.000	0.00000000	0.00000000	"cm3"	"//plants/bean"
"secondaryRootGrowthScalingFactor"  	0.000	1.00000000	0.00000000	"100%"	"//plants/bean"
"shootDryWeight"                    	0.000	0.00000000	NA	"g"	"//plants/bean"
"shootPotentialCarbonSinkForGrowth" 	0.000	0.00000000	0.00000000	"g"	"//plants/bean"
"shootRespiration"                  	0.000	0.00000000	0.00000000	"g"	"//plants/bean"
