name                    	time	value	rate	unit	path
"rootLengthDensityInMiddleCore_12"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_20"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_28"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_36"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"D90"                               	1.000	-3.70599435	NA	"cm"	"//bean2"
"carbonAllocation2Roots"            	1.000	0.01127293	0.01660454	"g"	"//bean2"
"carbonAllocation2Shoot"            	1.000	0.00000000	0.00000000	"g"	"//bean2"
"carbonAvailableForGrowth"          	1.000	0.01127293	0.01660454	"g"	"//bean2"
"carbonReserves"                    	1.000	0.00000000	-0.00000000	"g"	"//bean2"
"nutrientStressFactor"              	1.000	1.00000000	0.00000000	"100%"	"//bean2/nitrate"
"plantMinimalNutrientContent"       	1.000	15.03754978	NA	"umol"	"//bean2/nitrate"
"plantNutrientFixation"             	1.000	0.00000000	0.00000000	"umol"	"//bean2/nitrate"
"plantNutrientUptake"               	1.000	715.04370291	3.86730088	"umol"	"//bean2/nitrate"
"plantOptimalNutrientContent"       	1.000	30.07509956	NA	"umol"	"//bean2/nitrate"
"rootsBelowD90ForNutrient"          	1.000	0.00000000	NA	"cm"	"//bean2/nitrate"
"plantCarbonBalance"                	1.000	-0.00000524	NA	"g"	"//bean2"
"plantCarbonIncome"                 	1.000	0.01213022	0.01857614	"g"	"//bean2"
"plantDryWeight"                    	1.000	0.02506258	NA	"g"	"//bean2"
"carbonAllocation2Leafs"            	1.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"carbonAllocation2Stems"            	1.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"leafArea"                          	1.000	0.00000000	0.00000000	"cm2"	"//bean2/plantPosition/shoot"
"leafAreaIndex"                     	1.000	0.00000000	NA	"cm2/cm2"	"//bean2/plantPosition/shoot"
"leafAreaReductionCoefficient"      	1.000	1.00000000	NA	"cm2/cm2"	"//bean2/plantPosition/shoot"
"leafDryWeight"                     	1.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"leafPotentialCarbonSinkForGrowth"  	1.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"leafRespiration"                   	1.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"lightInterception"                 	1.000	0.00000000	NA	"umol/cm2/day"	"//bean2/plantPosition/shoot"
"photosynthesis"                    	1.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"potentialLeafArea"                 	1.000	0.00000000	0.00000000	"cm2"	"//bean2/plantPosition/shoot"
"potentialTranspiration"            	1.000	0.00000000	0.00000000	"cm3"	"//bean2/plantPosition/shoot"
"relativeCarbonAllocation2Leafs"    	1.000	0.69500000	NA	"100%"	"//bean2/plantPosition/shoot"
"relativeCarbonAllocation2Stems"    	1.000	0.30500000	NA	"100%"	"//bean2/plantPosition/shoot"
"stemDryWeight"                     	1.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"stemPotentialCarbonSinkForGrowth"  	1.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"stemRespiration"                   	1.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"stressAdjustedPotentialLeafArea"   	1.000	0.00000000	0.00000000	"cm2"	"//bean2/plantPosition/shoot"
"plantPotentialCarbonSinkForGrowth" 	1.000	0.01127293	0.01660454	"g"	"//bean2"
"plantRespiration"                  	1.000	0.00082146	0.00187602	"g"	"//bean2"
"relativeCarbonAllocation2Roots"    	1.000	1.00000000	NA	"100%"	"//bean2"
"relativeCarbonAllocation2Shoot"    	1.000	0.00000000	NA	"100%"	"//bean2"
"reserves"                          	1.000	0.17304394	-0.04128031	"g"	"//bean2"
"rootCarbonCostOfBiologicalNitrogenFixation"	1.000	0.00000000	0.00000000	"g"	"//bean2"
"rootCarbonCostOfExudates"          	1.000	0.00002131	0.00004175	"g"	"//bean2"
"rootCarbonCostOfNutrientUptake"    	1.000	0.00001453	0.00005383	"g"	"//bean2"
"rootCarbonCosts"                   	1.000	0.00003584	0.00009558	"g"	"//bean2"
"rootDryWeight"                     	1.000	0.02506258	NA	"g"	"//bean2"
"rootGrowthScalingFactor"           	1.000	1.00000000	0.00000000	"100%"	"//bean2"
"rootGrowthScalingFactor;majorAxis" 	1.000	1.00000000	0.00000000	"100%"	"//bean2"
"rootLength"                        	1.000	4.35700000	NA	"cm"	"//bean2"
"rootLongitudinalGrowth"            	1.000	4.35700000	5.35700000	"cm"	"//bean2"
"rootPotentialCarbonSinkForGrowth"  	1.000	0.01127293	0.01660454	"g"	"//bean2"
"rootPotentialCarbonSinkForGrowth;majorAxis"	1.000	0.01126542	0.01658100	"g"	"//bean2"
"rootRespiration"                   	1.000	0.00082146	0.00187602	"g"	"//bean2"
"rootSecondaryPotentialCarbonSinkForGrowth"	1.000	0.00000751	0.00002355	"g"	"//bean2"
"rootSurfaceArea"                   	1.000	3.18191707	NA	"cm2"	"//bean2"
"rootVolume"                        	1.000	0.26662322	NA	"cm3"	"//bean2"
"rootWaterUptake"                   	1.000	0.00000000	0.00000000	"cm3"	"//bean2"
"secondaryRootGrowthScalingFactor"  	1.000	1.00000000	0.00000000	"100%"	"//bean2"
"shootDryWeight"                    	1.000	0.00000000	NA	"g"	"//bean2"
"shootPotentialCarbonSinkForGrowth" 	1.000	0.00000000	0.00000000	"g"	"//bean2"
"shootRespiration"                  	1.000	0.00000000	0.00000000	"g"	"//bean2"
"stressFactor"                      	1.000	1.00000000	NA	"noUnit"	"//bean2"
"RootLengthProfile_00-10"           	1.000	4.35700000	NA	"cm"	"//soil"
