"V1" "V2" "V3" "V4" "V5" "V6" "orilabels" "colors" "filelabels"
"62" "//maize1/shootDryWeight1" 20 0.40849587 NA "g" "//maize1" "shootDryWeight" 2 1
"63" "//squash3/shootDryWeight1" 20 0.34690813 NA "g" "//squash3" "shootDryWeight" 3 1
"64" "//bean2/shootDryWeight1" 21 0.78562969 NA "g" "//bean2" "shootDryWeight" 1 1
"65" "//maize1/shootDryWeight1" 21 0.45189576 NA "g" "//maize1" "shootDryWeight" 2 1
"66" "//squash3/shootDryWeight1" 21 0.3907459 NA "g" "//squash3" "shootDryWeight" 3 1
"67" "//bean2/shootDryWeight1" 22 0.85410339 NA "g" "//bean2" "shootDryWeight" 1 1
"68" "//maize1/shootDryWeight1" 22 0.49090226 NA "g" "//maize1" "shootDryWeight" 2 1
"69" "//squash3/shootDryWeight1" 22 0.42723497 NA "g" "//squash3" "shootDryWeight" 3 1
"70" "//bean2/shootDryWeight1" 23 0.92120247 NA "g" "//bean2" "shootDryWeight" 1 1
"71" "//maize1/shootDryWeight1" 23 0.52810525 NA "g" "//maize1" "shootDryWeight" 2 1
"72" "//squash3/shootDryWeight1" 23 0.46588134 NA "g" "//squash3" "shootDryWeight" 3 1
"73" "//bean2/shootDryWeight1" 24 0.98600995 NA "g" "//bean2" "shootDryWeight" 1 1
"74" "//maize1/shootDryWeight1" 24 0.56242461 NA "g" "//maize1" "shootDryWeight" 2 1
"75" "//squash3/shootDryWeight1" 24 0.50122602 NA "g" "//squash3" "shootDryWeight" 3 1
"76" "//bean2/shootDryWeight1" 25 1.04756074 NA "g" "//bean2" "shootDryWeight" 1 1
"77" "//maize1/shootDryWeight1" 25 0.59299688 NA "g" "//maize1" "shootDryWeight" 2 1
"78" "//squash3/shootDryWeight1" 25 0.53082519 NA "g" "//squash3" "shootDryWeight" 3 1
"79" "//bean2/shootDryWeight1" 26 1.10061564 NA "g" "//bean2" "shootDryWeight" 1 1
"80" "//maize1/shootDryWeight1" 26 0.6199899 NA "g" "//maize1" "shootDryWeight" 2 1
"81" "//squash3/shootDryWeight1" 26 0.55587941 NA "g" "//squash3" "shootDryWeight" 3 1
"82" "//bean2/shootDryWeight1" 27 1.14208202 NA "g" "//bean2" "shootDryWeight" 1 1
"83" "//maize1/shootDryWeight1" 27 0.64397293 NA "g" "//maize1" "shootDryWeight" 2 1
"84" "//squash3/shootDryWeight1" 27 0.57782742 NA "g" "//squash3" "shootDryWeight" 3 1
"85" "//bean2/shootDryWeight1" 28 1.17570248 NA "g" "//bean2" "shootDryWeight" 1 1
"86" "//maize1/shootDryWeight1" 28 0.66550462 NA "g" "//maize1" "shootDryWeight" 2 1
"87" "//squash3/shootDryWeight1" 28 0.597587 NA "g" "//squash3" "shootDryWeight" 3 1
"88" "//bean2/shootDryWeight1" 29 1.20401427 NA "g" "//bean2" "shootDryWeight" 1 1
"89" "//maize1/shootDryWeight1" 29 0.68508689 NA "g" "//maize1" "shootDryWeight" 2 1
"90" "//squash3/shootDryWeight1" 29 0.61594159 NA "g" "//squash3" "shootDryWeight" 3 1
"91" "//bean2/shootDryWeight1" 30 1.22853952 NA "g" "//bean2" "shootDryWeight" 1 1
"92" "//maize1/shootDryWeight1" 30 0.70304722 NA "g" "//maize1" "shootDryWeight" 2 1
"93" "//squash3/shootDryWeight1" 30 0.63324476 NA "g" "//squash3" "shootDryWeight" 3 1
"94" "//bean2/shootDryWeight1" 31 1.25033738 NA "g" "//bean2" "shootDryWeight" 1 1
"95" "//maize1/shootDryWeight1" 31 0.71979854 NA "g" "//maize1" "shootDryWeight" 2 1
"96" "//squash3/shootDryWeight1" 31 0.65019656 NA "g" "//squash3" "shootDryWeight" 3 1
"97" "//bean2/shootDryWeight1" 32 1.27005197 NA "g" "//bean2" "shootDryWeight" 1 1
"98" "//maize1/shootDryWeight1" 32 0.73545779 NA "g" "//maize1" "shootDryWeight" 2 1
"99" "//squash3/shootDryWeight1" 32 0.66685065 NA "g" "//squash3" "shootDryWeight" 3 1
"100" "//bean2/shootDryWeight1" 33 1.28829504 NA "g" "//bean2" "shootDryWeight" 1 1
"101" "//maize1/shootDryWeight1" 33 0.75048474 NA "g" "//maize1" "shootDryWeight" 2 1
"102" "//squash3/shootDryWeight1" 33 0.68310002 NA "g" "//squash3" "shootDryWeight" 3 1
"103" "//bean2/shootDryWeight1" 34 1.30534341 NA "g" "//bean2" "shootDryWeight" 1 1
"104" "//maize1/shootDryWeight1" 34 0.76480751 NA "g" "//maize1" "shootDryWeight" 2 1
"105" "//squash3/shootDryWeight1" 34 0.69837324 NA "g" "//squash3" "shootDryWeight" 3 1
"106" "//bean2/shootDryWeight1" 35 1.32133537 NA "g" "//bean2" "shootDryWeight" 1 1
"107" "//maize1/shootDryWeight1" 35 0.77835255 NA "g" "//maize1" "shootDryWeight" 2 1
"108" "//squash3/shootDryWeight1" 35 0.71297497 NA "g" "//squash3" "shootDryWeight" 3 1
"109" "//bean2/shootDryWeight1" 36 1.33641845 NA "g" "//bean2" "shootDryWeight" 1 1
"110" "//maize1/shootDryWeight1" 36 0.79119123 NA "g" "//maize1" "shootDryWeight" 2 1
"111" "//squash3/shootDryWeight1" 36 0.72702292 NA "g" "//squash3" "shootDryWeight" 3 1
"112" "//bean2/shootDryWeight1" 37 1.35068722 NA "g" "//bean2" "shootDryWeight" 1 1
"113" "//maize1/shootDryWeight1" 37 0.80336709 NA "g" "//maize1" "shootDryWeight" 2 1
"114" "//squash3/shootDryWeight1" 37 0.74050053 NA "g" "//squash3" "shootDryWeight" 3 1
"115" "//bean2/shootDryWeight1" 38 1.36422041 NA "g" "//bean2" "shootDryWeight" 1 1
"116" "//maize1/shootDryWeight1" 38 0.81492989 NA "g" "//maize1" "shootDryWeight" 2 1
"117" "//squash3/shootDryWeight1" 38 0.75289531 NA "g" "//squash3" "shootDryWeight" 3 1
"118" "//bean2/shootDryWeight1" 39 1.37708853 NA "g" "//bean2" "shootDryWeight" 1 1
"119" "//maize1/shootDryWeight1" 39 0.82595575 NA "g" "//maize1" "shootDryWeight" 2 1
"120" "//squash3/shootDryWeight1" 39 0.76433809 NA "g" "//squash3" "shootDryWeight" 3 1
"121" "//bean2/shootDryWeight1" 40 1.38935713 NA "g" "//bean2" "shootDryWeight" 1 1
"122" "//maize1/shootDryWeight1" 40 0.83652601 NA "g" "//maize1" "shootDryWeight" 2 1
"123" "//squash3/shootDryWeight1" 40 0.77509961 NA "g" "//squash3" "shootDryWeight" 3 1
"124" "//bean2/shootDryWeight2" 0 0 NA "g" "//bean2" "shootDryWeight" 1 2
"125" "//maize1/shootDryWeight2" 0 0 NA "g" "//maize1" "shootDryWeight" 2 2
"126" "//squash3/shootDryWeight2" 0 0 NA "g" "//squash3" "shootDryWeight" 3 2
"127" "//bean2/shootDryWeight2" 1 0 NA "g" "//bean2" "shootDryWeight" 1 2
"128" "//maize1/shootDryWeight2" 1 0 NA "g" "//maize1" "shootDryWeight" 2 2
"129" "//squash3/shootDryWeight2" 1 0 NA "g" "//squash3" "shootDryWeight" 3 2
"130" "//bean2/shootDryWeight2" 2 0 NA "g" "//bean2" "shootDryWeight" 1 2
"131" "//maize1/shootDryWeight2" 2 0 NA "g" "//maize1" "shootDryWeight" 2 2
"132" "//squash3/shootDryWeight2" 2 0.00061029 NA "g" "//squash3" "shootDryWeight" 3 2
"133" "//bean2/shootDryWeight2" 3 0.00352019 NA "g" "//bean2" "shootDryWeight" 1 2
"134" "//maize1/shootDryWeight2" 3 0.00487849 NA "g" "//maize1" "shootDryWeight" 2 2
"135" "//squash3/shootDryWeight2" 3 0.00184107 NA "g" "//squash3" "shootDryWeight" 3 2
"136" "//bean2/shootDryWeight2" 4 0.01317992 NA "g" "//bean2" "shootDryWeight" 1 2
"137" "//maize1/shootDryWeight2" 4 0.01442671 NA "g" "//maize1" "shootDryWeight" 2 2
"138" "//squash3/shootDryWeight2" 4 0.00308461 NA "g" "//squash3" "shootDryWeight" 3 2
"139" "//bean2/shootDryWeight2" 5 0.02563406 NA "g" "//bean2" "shootDryWeight" 1 2
"140" "//maize1/shootDryWeight2" 5 0.02586068 NA "g" "//maize1" "shootDryWeight" 2 2
"141" "//squash3/shootDryWeight2" 5 0.00434117 NA "g" "//squash3" "shootDryWeight" 3 2
"142" "//bean2/shootDryWeight2" 6 0.03849059 NA "g" "//bean2" "shootDryWeight" 1 2
"143" "//maize1/shootDryWeight2" 6 0.03736211 NA "g" "//maize1" "shootDryWeight" 2 2
"144" "//squash3/shootDryWeight2" 6 0.00624716 NA "g" "//squash3" "shootDryWeight" 3 2
"145" "//bean2/shootDryWeight2" 7 0.05035779 NA "g" "//bean2" "shootDryWeight" 1 2
"146" "//maize1/shootDryWeight2" 7 0.04781635 NA "g" "//maize1" "shootDryWeight" 2 2
"147" "//squash3/shootDryWeight2" 7 0.00945698 NA "g" "//squash3" "shootDryWeight" 3 2
"148" "//bean2/shootDryWeight2" 8 0.06263219 NA "g" "//bean2" "shootDryWeight" 1 2
"149" "//maize1/shootDryWeight2" 8 0.05689187 NA "g" "//maize1" "shootDryWeight" 2 2
"150" "//squash3/shootDryWeight2" 8 0.01432379 NA "g" "//squash3" "shootDryWeight" 3 2
"151" "//bean2/shootDryWeight2" 9 0.07913208 NA "g" "//bean2" "shootDryWeight" 1 2
"152" "//maize1/shootDryWeight2" 9 0.06520133 NA "g" "//maize1" "shootDryWeight" 2 2
"153" "//squash3/shootDryWeight2" 9 0.02121105 NA "g" "//squash3" "shootDryWeight" 3 2
"154" "//bean2/shootDryWeight2" 10 0.10090042 NA "g" "//bean2" "shootDryWeight" 1 2
"155" "//maize1/shootDryWeight2" 10 0.07436772 NA "g" "//maize1" "shootDryWeight" 2 2
"156" "//squash3/shootDryWeight2" 10 0.03182417 NA "g" "//squash3" "shootDryWeight" 3 2
"157" "//bean2/shootDryWeight2" 11 0.12907313 NA "g" "//bean2" "shootDryWeight" 1 2
"158" "//maize1/shootDryWeight2" 11 0.08643813 NA "g" "//maize1" "shootDryWeight" 2 2
"159" "//squash3/shootDryWeight2" 11 0.04797337 NA "g" "//squash3" "shootDryWeight" 3 2
"160" "//bean2/shootDryWeight2" 12 0.16498875 NA "g" "//bean2" "shootDryWeight" 1 2
"161" "//maize1/shootDryWeight2" 12 0.10025987 NA "g" "//maize1" "shootDryWeight" 2 2
"162" "//squash3/shootDryWeight2" 12 0.07057288 NA "g" "//squash3" "shootDryWeight" 3 2
"163" "//bean2/shootDryWeight2" 13 0.21034516 NA "g" "//bean2" "shootDryWeight" 1 2
"164" "//maize1/shootDryWeight2" 13 0.11889185 NA "g" "//maize1" "shootDryWeight" 2 2
"165" "//squash3/shootDryWeight2" 13 0.10093109 NA "g" "//squash3" "shootDryWeight" 3 2
"166" "//bean2/shootDryWeight2" 14 0.26723841 NA "g" "//bean2" "shootDryWeight" 1 2
"167" "//maize1/shootDryWeight2" 14 0.14637571 NA "g" "//maize1" "shootDryWeight" 2 2
"168" "//squash3/shootDryWeight2" 14 0.14302797 NA "g" "//squash3" "shootDryWeight" 3 2
"169" "//bean2/shootDryWeight2" 15 0.33820203 NA "g" "//bean2" "shootDryWeight" 1 2
"170" "//maize1/shootDryWeight2" 15 0.1824018 NA "g" "//maize1" "shootDryWeight" 2 2
"171" "//squash3/shootDryWeight2" 15 0.19063115 NA "g" "//squash3" "shootDryWeight" 3 2
"172" "//bean2/shootDryWeight2" 16 0.41672942 NA "g" "//bean2" "shootDryWeight" 1 2
"173" "//maize1/shootDryWeight2" 16 0.22415944 NA "g" "//maize1" "shootDryWeight" 2 2
"174" "//squash3/shootDryWeight2" 16 0.22674542 NA "g" "//squash3" "shootDryWeight" 3 2
"175" "//bean2/shootDryWeight2" 17 0.49414499 NA "g" "//bean2" "shootDryWeight" 1 2
"176" "//maize1/shootDryWeight2" 17 0.26798459 NA "g" "//maize1" "shootDryWeight" 2 2
"177" "//squash3/shootDryWeight2" 17 0.25435461 NA "g" "//squash3" "shootDryWeight" 3 2
"178" "//bean2/shootDryWeight2" 18 0.57013287 NA "g" "//bean2" "shootDryWeight" 1 2
"179" "//maize1/shootDryWeight2" 18 0.31085878 NA "g" "//maize1" "shootDryWeight" 2 2
"180" "//squash3/shootDryWeight2" 18 0.27879603 NA "g" "//squash3" "shootDryWeight" 3 2
"181" "//bean2/shootDryWeight2" 19 0.64451343 NA "g" "//bean2" "shootDryWeight" 1 2
"182" "//maize1/shootDryWeight2" 19 0.35148599 NA "g" "//maize1" "shootDryWeight" 2 2
"183" "//squash3/shootDryWeight2" 19 0.30446979 NA "g" "//squash3" "shootDryWeight" 3 2
"184" "//bean2/shootDryWeight2" 20 0.7189052 NA "g" "//bean2" "shootDryWeight" 1 2
"185" "//maize1/shootDryWeight2" 20 0.39244326 NA "g" "//maize1" "shootDryWeight" 2 2
"186" "//squash3/shootDryWeight2" 20 0.34074314 NA "g" "//squash3" "shootDryWeight" 3 2
"187" "//bean2/shootDryWeight2" 21 0.79178114 NA "g" "//bean2" "shootDryWeight" 1 2
"188" "//maize1/shootDryWeight2" 21 0.43103275 NA "g" "//maize1" "shootDryWeight" 2 2
"189" "//squash3/shootDryWeight2" 21 0.38298369 NA "g" "//squash3" "shootDryWeight" 3 2
"190" "//bean2/shootDryWeight2" 22 0.86229891 NA "g" "//bean2" "shootDryWeight" 1 2
"191" "//maize1/shootDryWeight2" 22 0.46570897 NA "g" "//maize1" "shootDryWeight" 2 2
"192" "//squash3/shootDryWeight2" 22 0.41808481 NA "g" "//squash3" "shootDryWeight" 3 2
"193" "//bean2/shootDryWeight2" 23 0.93175704 NA "g" "//bean2" "shootDryWeight" 1 2
"194" "//maize1/shootDryWeight2" 23 0.49870837 NA "g" "//maize1" "shootDryWeight" 2 2
"195" "//squash3/shootDryWeight2" 23 0.45377679 NA "g" "//squash3" "shootDryWeight" 3 2
"196" "//bean2/shootDryWeight2" 24 0.99911654 NA "g" "//bean2" "shootDryWeight" 1 2
"197" "//maize1/shootDryWeight2" 24 0.52926977 NA "g" "//maize1" "shootDryWeight" 2 2
"198" "//squash3/shootDryWeight2" 24 0.4860452 NA "g" "//squash3" "shootDryWeight" 3 2
"199" "//bean2/shootDryWeight2" 25 1.06331123 NA "g" "//bean2" "shootDryWeight" 1 2
"200" "//maize1/shootDryWeight2" 25 0.55665562 NA "g" "//maize1" "shootDryWeight" 2 2
"201" "//squash3/shootDryWeight2" 25 0.51292014 NA "g" "//squash3" "shootDryWeight" 3 2
"202" "//bean2/shootDryWeight2" 26 1.11876233 NA "g" "//bean2" "shootDryWeight" 1 2
"203" "//maize1/shootDryWeight2" 26 0.58096378 NA "g" "//maize1" "shootDryWeight" 2 2
"204" "//squash3/shootDryWeight2" 26 0.53565354 NA "g" "//squash3" "shootDryWeight" 3 2
"205" "//bean2/shootDryWeight2" 27 1.1621806 NA "g" "//bean2" "shootDryWeight" 1 2
"206" "//maize1/shootDryWeight2" 27 0.60264699 NA "g" "//maize1" "shootDryWeight" 2 2
"207" "//squash3/shootDryWeight2" 27 0.55569729 NA "g" "//squash3" "shootDryWeight" 3 2
"208" "//bean2/shootDryWeight2" 28 1.19747127 NA "g" "//bean2" "shootDryWeight" 1 2
"209" "//maize1/shootDryWeight2" 28 0.62216977 NA "g" "//maize1" "shootDryWeight" 2 2
"210" "//squash3/shootDryWeight2" 28 0.57394811 NA "g" "//squash3" "shootDryWeight" 3 2
"211" "//bean2/shootDryWeight2" 29 1.22727595 NA "g" "//bean2" "shootDryWeight" 1 2
"212" "//maize1/shootDryWeight2" 29 0.63995406 NA "g" "//maize1" "shootDryWeight" 2 2
"213" "//squash3/shootDryWeight2" 29 0.59106341 NA "g" "//squash3" "shootDryWeight" 3 2
"214" "//bean2/shootDryWeight2" 30 1.25317295 NA "g" "//bean2" "shootDryWeight" 1 2
"215" "//maize1/shootDryWeight2" 30 0.6562792 NA "g" "//maize1" "shootDryWeight" 2 2
"216" "//squash3/shootDryWeight2" 30 0.60732844 NA "g" "//squash3" "shootDryWeight" 3 2
"217" "//bean2/shootDryWeight2" 31 1.27626104 NA "g" "//bean2" "shootDryWeight" 1 2
"218" "//maize1/shootDryWeight2" 31 0.67149551 NA "g" "//maize1" "shootDryWeight" 2 2
"219" "//squash3/shootDryWeight2" 31 0.62340503 NA "g" "//squash3" "shootDryWeight" 3 2
"220" "//bean2/shootDryWeight2" 32 1.29721329 NA "g" "//bean2" "shootDryWeight" 1 2
"221" "//maize1/shootDryWeight2" 32 0.68570699 NA "g" "//maize1" "shootDryWeight" 2 2
"222" "//squash3/shootDryWeight2" 32 0.63939182 NA "g" "//squash3" "shootDryWeight" 3 2
"223" "//bean2/shootDryWeight2" 33 1.31665932 NA "g" "//bean2" "shootDryWeight" 1 2
"224" "//maize1/shootDryWeight2" 33 0.69930143 NA "g" "//maize1" "shootDryWeight" 2 2
"225" "//squash3/shootDryWeight2" 33 0.65625917 NA "g" "//squash3" "shootDryWeight" 3 2
"226" "//bean2/shootDryWeight2" 34 1.3348782 NA "g" "//bean2" "shootDryWeight" 1 2
"227" "//maize1/shootDryWeight2" 34 0.71223376 NA "g" "//maize1" "shootDryWeight" 2 2
"228" "//squash3/shootDryWeight2" 34 0.67251306 NA "g" "//squash3" "shootDryWeight" 3 2
"229" "//bean2/shootDryWeight2" 35 1.35200352 NA "g" "//bean2" "shootDryWeight" 1 2
"230" "//maize1/shootDryWeight2" 35 0.72444364 NA "g" "//maize1" "shootDryWeight" 2 2
"231" "//squash3/shootDryWeight2" 35 0.68721442 NA "g" "//squash3" "shootDryWeight" 3 2
"232" "//bean2/shootDryWeight2" 36 1.36817848 NA "g" "//bean2" "shootDryWeight" 1 2
"233" "//maize1/shootDryWeight2" 36 0.73599721 NA "g" "//maize1" "shootDryWeight" 2 2
"234" "//squash3/shootDryWeight2" 36 0.70093037 NA "g" "//squash3" "shootDryWeight" 3 2
"235" "//bean2/shootDryWeight2" 37 1.38348634 NA "g" "//bean2" "shootDryWeight" 1 2
"236" "//maize1/shootDryWeight2" 37 0.74694191 NA "g" "//maize1" "shootDryWeight" 2 2
"237" "//squash3/shootDryWeight2" 37 0.71330422 NA "g" "//squash3" "shootDryWeight" 3 2
"238" "//bean2/shootDryWeight2" 38 1.39800277 NA "g" "//bean2" "shootDryWeight" 1 2
"239" "//maize1/shootDryWeight2" 38 0.75732421 NA "g" "//maize1" "shootDryWeight" 2 2
"240" "//squash3/shootDryWeight2" 38 0.72449667 NA "g" "//squash3" "shootDryWeight" 3 2
"241" "//bean2/shootDryWeight2" 39 1.41179317 NA "g" "//bean2" "shootDryWeight" 1 2
"242" "//maize1/shootDryWeight2" 39 0.7672126 NA "g" "//maize1" "shootDryWeight" 2 2
"243" "//squash3/shootDryWeight2" 39 0.73485033 NA "g" "//squash3" "shootDryWeight" 3 2
"244" "//bean2/shootDryWeight2" 40 1.42491825 NA "g" "//bean2" "shootDryWeight" 1 2
"245" "//maize1/shootDryWeight2" 40 0.77668093 NA "g" "//maize1" "shootDryWeight" 2 2
"246" "//squash3/shootDryWeight2" 40 0.74457407 NA "g" "//squash3" "shootDryWeight" 3 2
