time 0.1_bbb 5.0_bbb 0.1_b 5.0_b 0.1_mbb 5.0_mbb 0.1_mbs 5.0_mbs 0.1_mmm 5.0_mmm 0.1_m 5.0_m 0.1_sss 5.0_sss 0.1_s 5.0_s
0.000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 NA NA NA NA NA NA NA NA
1.000 0.02506258 0.02506258 0.02506258 0.02506258 0.02506258 0.02506258 0.02506258 0.02506258 NA NA NA NA NA NA NA NA
2.000 0.06208491 0.06208491 0.06208491 0.06208491 0.06208491 0.06208491 0.06208491 0.06208491 NA NA NA NA NA NA NA NA
3.000 0.09112565 0.09112565 0.09112659 0.09112659 0.09112565 0.09112565 0.09112565 0.09112565 NA NA NA NA NA NA NA NA
4.000 0.10866039 0.10866039 0.10866197 0.10866197 0.10866039 0.10866039 0.10866039 0.10866039 NA NA NA NA NA NA NA NA
5.000 0.12615731 0.12615645 0.12617289 0.12616931 0.12616657 0.12615159 0.12615908 0.12619331 NA NA NA NA NA NA NA NA
6.000 0.14653618 0.14656533 0.14670012 0.14663263 0.14658578 0.14655757 0.14665158 0.14670096 NA NA NA NA NA NA NA NA
7.000 0.17068198 0.17072849 0.17097914 0.17084665 0.17073166 0.17074136 0.17089342 0.17093249 NA NA NA NA NA NA NA NA
8.000 0.20111176 0.20114720 0.20147176 0.20135777 0.20113817 0.20117377 0.20143766 0.20148652 NA NA NA NA NA NA NA NA
9.000 0.24334117 0.24331836 0.24367393 0.24377805 0.24337117 0.24339354 0.24388945 0.24391982 NA NA NA NA NA NA NA NA
10.000 0.29881472 0.29861089 0.29910345 0.29949497 0.29884616 0.29888306 0.29961060 0.29956337 NA NA NA NA NA NA NA NA
11.000 0.37058094 0.37020112 0.37092559 0.37158206 0.37063076 0.37074570 0.37162943 0.37151100 NA NA NA NA NA NA NA NA
12.000 0.46102183 0.46048755 0.46143187 0.46228496 0.46108221 0.46119719 0.46234677 0.46221309 NA NA NA NA NA NA NA NA
13.000 0.55448211 0.54983540 0.55403167 0.55095467 0.55445256 0.54995216 0.55456758 0.54969904 NA NA NA NA NA NA NA NA
14.000 0.66400505 0.65712952 0.66315687 0.65740457 0.66389301 0.65707079 0.66355022 0.65641408 NA NA NA NA NA NA NA NA
15.000 0.79583460 0.78720008 0.79479637 0.78724599 0.79567277 0.78708777 0.79514655 0.78620487 NA NA NA NA NA NA NA NA
16.000 0.93264174 0.94472073 0.93668503 0.94460002 0.93038222 0.94467291 0.92728536 0.94367749 NA NA NA NA NA NA NA NA
17.000 1.05696701 1.13306720 1.06942798 1.13298687 1.05291126 1.13294510 1.04773073 1.13192845 NA NA NA NA NA NA NA NA
18.000 1.17386452 1.35586510 1.19684822 1.35589555 1.16854780 1.35566899 1.16111938 1.35451594 NA NA NA NA NA NA NA NA
19.000 1.28605795 1.61231633 1.32263523 1.61265973 1.27992123 1.61200267 1.26994007 1.61090764 NA NA NA NA NA NA NA NA
20.000 1.39765746 1.90654462 1.45336862 1.90742778 1.39121307 1.90619223 1.37789488 1.90519117 NA NA NA NA NA NA NA NA
21.000 1.50454454 2.24639536 1.58225279 2.24787098 1.49846228 2.24598331 1.48135136 2.24500650 NA NA NA NA NA NA NA NA
22.000 1.60565018 2.64162937 1.70781595 2.64377577 1.60053580 2.64114159 1.57917999 2.64010417 NA NA NA NA NA NA NA NA
