time 0.1_bbb 5.0_bbb 0.1_b 5.0_b 0.1_mbb 5.0_mbb 0.1_mbs 5.0_mbs 0.1_mmm 5.0_mmm 0.1_m 5.0_m 0.1_sss 5.0_sss 0.1_s 5.0_s
23.000 1.70381083 3.10453856 1.83492865 3.10734062 1.70054090 3.10383052 1.67395937 3.10277692 NA NA NA NA NA NA NA NA
24.000 1.79684665 3.64989025 1.95867402 3.65329282 1.79620762 3.64890501 1.76370510 3.64788083 NA NA NA NA NA NA NA NA
25.000 1.88355601 4.29421536 2.07663555 4.29822670 1.88614518 4.29295755 1.84724361 4.29194249 NA NA NA NA NA NA NA NA
26.000 1.96099636 4.99672222 2.18767055 5.00014338 1.96859279 4.99535589 1.92093331 4.99432427 NA NA NA NA NA NA NA NA
27.000 2.02743093 5.68647834 2.28827150 5.69048211 2.03999816 5.68489735 1.98441182 5.68386326 NA NA NA NA NA NA NA NA
28.000 2.08524775 6.36241974 2.37798542 6.36705587 2.10267885 6.36062837 2.03976612 6.35949446 NA NA NA NA NA NA NA NA
29.000 2.13684997 7.02389855 2.45882357 7.02925808 2.15907625 7.02186208 2.08922977 7.02065115 NA NA NA NA NA NA NA NA
30.000 2.18389529 7.67004364 2.53293939 7.67624471 2.21094579 7.66783725 2.13438313 7.66659500 NA NA NA NA NA NA NA NA
31.000 2.22814916 8.30056571 2.60313507 8.30769485 2.26014624 8.29839978 2.17692158 8.29684406 NA NA NA NA NA NA NA NA
32.000 2.27044051 8.91480855 2.67185906 8.92301193 2.30750097 8.91291055 2.21763833 8.91103693 NA NA NA NA NA NA NA NA
33.000 2.31255053 9.51296649 2.74184053 9.52235253 2.35501676 9.51152168 2.25826601 9.50919586 NA NA NA NA NA NA NA NA
34.000 2.35406005 10.09525619 2.81415524 10.10571246 2.40249433 10.09427813 2.29847144 10.09151048 NA NA NA NA NA NA NA NA
35.000 2.39457032 10.66156864 2.88769070 10.67310836 2.44953946 10.66114976 2.33789301 10.65770982 NA NA NA NA NA NA NA NA
36.000 2.43407602 11.21225425 2.96178721 11.22467459 2.49605450 11.21230134 2.37659570 11.20813016 NA NA NA NA NA NA NA NA
37.000 2.47258093 11.74740941 3.03554511 11.76056809 2.54188662 11.74768175 2.41457073 11.74275438 NA NA NA NA NA NA NA NA
38.000 2.51008921 12.26721730 3.10827064 12.27977942 2.58645326 12.26758683 2.45173217 12.26195762 NA NA NA NA NA NA NA NA
39.000 2.54669064 12.75195515 3.17987720 12.72687049 2.62955514 12.74997673 2.48821418 12.75087727 NA NA NA NA NA NA NA NA
40.000 2.58250302 13.14986407 3.25042354 13.10512415 2.67204621 13.14584090 2.52421740 13.15245771 NA NA NA NA NA NA NA NA
