time 0.1_bbb 5.0_bbb 0.1_b 5.0_b 0.1_mbb 5.0_mbb 0.1_mbs 5.0_mbs 0.1_mmm 5.0_mmm 0.1_m 5.0_m 0.1_sss 5.0_sss 0.1_s 5.0_s
0.000 0.00000000 0.00000000 NA NA 0.00000000 0.00000000 NA NA NA NA NA NA NA NA NA NA
1.000 0.02506258 0.02506258 NA NA 0.02506258 0.02506258 NA NA NA NA NA NA NA NA NA NA
2.000 0.06208491 0.06208491 NA NA 0.06208491 0.06208491 NA NA NA NA NA NA NA NA NA NA
3.000 0.09112659 0.09112659 NA NA 0.09112565 0.09112565 NA NA NA NA NA NA NA NA NA NA
4.000 0.10866197 0.10866197 NA NA 0.10866039 0.10866039 NA NA NA NA NA NA NA NA NA NA
5.000 0.12615375 0.12616434 NA NA 0.12616432 0.12615408 NA NA NA NA NA NA NA NA NA NA
6.000 0.14663781 0.14655731 NA NA 0.14661058 0.14662277 NA NA NA NA NA NA NA NA NA NA
7.000 0.17085570 0.17065984 NA NA 0.17077635 0.17086946 NA NA NA NA NA NA NA NA NA NA
8.000 0.20126872 0.20096131 NA NA 0.20120025 0.20138775 NA NA NA NA NA NA NA NA NA NA
9.000 0.24348228 0.24312536 NA NA 0.24341995 0.24376133 NA NA NA NA NA NA NA NA NA NA
10.000 0.29883524 0.29852025 NA NA 0.29884778 0.29940177 NA NA NA NA NA NA NA NA NA NA
11.000 0.37041342 0.37018564 NA NA 0.37055210 0.37131741 NA NA NA NA NA NA NA NA NA NA
12.000 0.46065096 0.46046725 NA NA 0.46094794 0.46186659 NA NA NA NA NA NA NA NA NA NA
13.000 0.55399104 0.55012879 NA NA 0.55439554 0.54966835 NA NA NA NA NA NA NA NA NA NA
14.000 0.66354343 0.65725237 NA NA 0.66393087 0.65645676 NA NA NA NA NA NA NA NA NA NA
15.000 0.79534143 0.78729221 NA NA 0.79579613 0.78632426 NA NA NA NA NA NA NA NA NA NA
16.000 0.92740764 0.94471610 NA NA 0.92948796 0.94388173 NA NA NA NA NA NA NA NA NA NA
17.000 1.04682389 1.13304377 NA NA 1.05135001 1.13219489 NA NA NA NA NA NA NA NA NA NA
18.000 1.15922085 1.35584258 NA NA 1.16614919 1.35480000 NA NA NA NA NA NA NA NA NA NA
19.000 1.26702547 1.61220524 NA NA 1.27642480 1.61058341 NA NA NA NA NA NA NA NA NA NA
20.000 1.37400120 1.90641836 NA NA 1.38603787 1.90421193 NA NA NA NA NA NA NA NA NA NA
21.000 1.47615643 2.24615798 NA NA 1.49147061 2.24362371 NA NA NA NA NA NA NA NA NA NA
22.000 1.57268734 2.64131451 NA NA 1.59163375 2.63853726 NA NA NA NA NA NA NA NA NA NA
23.000 1.66658095 3.10411900 NA NA 1.68933836 3.10109538 NA NA NA NA NA NA NA NA NA NA
24.000 1.75557052 3.64930307 NA NA 1.78270499 3.64605208 NA NA NA NA NA NA NA NA NA NA
25.000 1.83867171 4.29351605 NA NA 1.87049312 4.29001518 NA NA NA NA NA NA NA NA NA NA
26.000 1.91311907 4.99455949 NA NA 1.95048086 4.99211075 NA NA NA NA NA NA NA NA NA NA
27.000 1.97726593 5.68418969 NA NA 2.01982162 5.68141468 NA NA NA NA NA NA NA NA NA NA
28.000 2.03323429 6.36007990 NA NA 2.08085905 6.35697785 NA NA NA NA NA NA NA NA NA NA
29.000 2.08325877 7.02163075 NA NA 2.13594277 7.01811513 NA NA NA NA NA NA NA NA NA NA
30.000 2.12893114 7.66791115 NA NA 2.18674647 7.66399231 NA NA NA NA NA NA NA NA NA NA
31.000 2.17196057 8.29863374 NA NA 2.23497570 8.29426330 NA NA NA NA NA NA NA NA NA NA
32.000 2.21318541 8.91325735 NA NA 2.28139365 8.90847030 NA NA NA NA NA NA NA NA NA NA
33.000 2.25432819 9.51192615 NA NA 2.32786611 9.50678853 NA NA NA NA NA NA NA NA NA NA
34.000 2.29507881 10.09469537 NA NA 2.37409022 10.08930437 NA NA NA NA NA NA NA NA NA NA
35.000 2.33507340 10.66135549 NA NA 2.41955262 10.65597736 NA NA NA NA NA NA NA NA NA NA
36.000 2.37429213 11.21233219 NA NA 2.46414563 11.20703025 NA NA NA NA NA NA NA NA NA NA
37.000 2.41259611 11.74757732 NA NA 2.50768220 11.74241327 NA NA NA NA NA NA NA NA NA NA
38.000 2.45005792 12.26744884 NA NA 2.55015713 12.26238980 NA NA NA NA NA NA NA NA NA NA
39.000 2.48671444 12.74760263 NA NA 2.59159186 12.75995916 NA NA NA NA NA NA NA NA NA NA
40.000 2.52266069 13.14075177 NA NA 2.63156306 13.17014197 NA NA NA NA NA NA NA NA NA NA
