0.1_bbb 5.0_bbb 0.1_b 5.0_b 0.1_mbb 5.0_mbb 0.1_mbs 5.0_mbs 0.1_mmm 5.0_mmm 0.1_m 5.0_m time 0.1_sss 5.0_sss 0.1_s 5.0_s
NA NA NA NA NA NA NA NA NA NA NA NA 0.000 0.00000000 0.00000000 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 1.000 0.00365996 0.00365996 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 2.000 0.01912830 0.01912707 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 3.000 0.04225814 0.04227577 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 4.000 0.05412623 0.05420129 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 5.000 0.05975224 0.05995932 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 6.000 0.06656761 0.06701526 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 7.000 0.07638334 0.07713409 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 8.000 0.08984056 0.09096991 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 9.000 0.10748554 0.10903143 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 10.000 0.13125658 0.13322357 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 11.000 0.16338195 0.16579459 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 12.000 0.20532309 0.20816743 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 13.000 0.25922327 0.26245165 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 14.000 0.32978538 0.33327763 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 15.000 0.41222768 0.42793658 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 16.000 0.48866654 0.55069092 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 17.000 0.56129077 0.70659660 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 18.000 0.63432883 0.91801025 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 19.000 0.71076188 1.21110965 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 20.000 0.77554744 1.64740744 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 21.000 0.81758926 2.30272041 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 22.000 0.85226825 3.18402097 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 23.000 0.88953126 4.25218095 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 24.000 0.92296300 5.50824846 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 25.000 0.95067138 6.94519064 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 26.000 0.97418587 8.53218765 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 27.000 0.99484452 10.25818273 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 28.000 1.01350078 12.12951178 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 29.000 1.03086091 14.15179004 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 30.000 1.04724683 16.33054662 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 31.000 1.06340388 18.67156738 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 32.000 1.07939717 21.18123575 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 33.000 1.09650846 23.86608918 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 34.000 1.11330583 26.73232079 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 35.000 1.12900766 29.78632107 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 36.000 1.14358902 33.03444616 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 37.000 1.15670462 36.48353529 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 38.000 1.16828684 40.13978520 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 39.000 1.17889212 44.01007186 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA 40.000 1.18883884 48.10091466 NA NA
