0.1_bbb 5.0_bbb 0.1_b 5.0_b 0.1_mbb 5.0_mbb 0.1_mbs 5.0_mbs time 0.1_mmm 5.0_mmm 0.1_m 5.0_m 0.1_sss 5.0_sss 0.1_s 5.0_s
NA NA NA NA NA NA NA NA 0.000 0.00000000 0.00000000 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 1.000 0.00594694 0.00594694 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 2.000 0.01320487 0.01320984 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 3.000 0.03050101 0.03055311 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 4.000 0.05598559 0.05610211 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 5.000 0.08154401 0.08167447 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 6.000 0.10720834 0.10734670 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 7.000 0.13536026 0.13548975 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 8.000 0.16896825 0.16897373 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 9.000 0.21159816 0.21134613 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 10.000 0.26756447 0.26696204 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 11.000 0.34068062 0.34056879 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 12.000 0.42838202 0.43534878 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 13.000 0.47138184 0.52825497 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 14.000 0.51363787 0.63450421 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 15.000 0.55866834 0.77145940 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 16.000 0.60608237 0.95731463 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 17.000 0.65452774 1.21119307 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 18.000 0.70279818 1.55310345 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 19.000 0.75051608 2.00276856 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 20.000 0.80025273 2.56693850 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 21.000 0.84805763 3.25177114 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 22.000 0.89314118 4.06626982 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 23.000 0.93856742 5.02746695 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 24.000 0.98186971 6.14303990 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 25.000 1.02192330 7.41731691 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 26.000 1.05885498 8.86077472 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 27.000 1.09293867 10.46791720 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 28.000 1.12475364 12.22492313 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 29.000 1.15488548 14.12183443 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 30.000 1.18367115 16.14814866 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 31.000 1.21190992 18.29379660 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 32.000 1.23978848 20.53774139 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 33.000 1.26784381 22.85106855 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 34.000 1.29592885 25.22004307 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 35.000 1.32346030 27.63863982 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 36.000 1.35024959 30.09624971 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 37.000 1.37602797 32.59188017 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 38.000 1.40076289 35.13191473 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 39.000 1.42449445 37.50947648 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA 40.000 1.44731939 39.65166484 NA NA NA NA NA NA
